params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.324679030322841,100,-4.5115384615384615,-13.375,-13.375,6.769230769230769,9.99933318782725
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.1799225556260353,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.2568437089430518,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.166104332537543,100,-1.288461538461538,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.2023492357834584,100,-2.2956730769230766,6.769230769230769,-13.375,6.769230769230769,10.021628272780621
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.508568702547109,100,-5.115865384615384,-13.375,-13.375,6.769230769230769,9.907603597813415
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.3372584512021604,100,-2.2956730769230766,6.769230769230769,-13.375,6.769230769230769,10.021628272780621
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.355684351658056,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",2.838344967943158,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649726
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",2.802319996973438,100,-2.4971153846153844,6.769230769230769,-13.375,6.769230769230769,10.039832880469248
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",2.741121436600224,100,-1.489903846153846,6.769230769230769,-13.375,6.769230769230769,9.907603597813415
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",2.925033230292229,100,-1.7516666666666665,5.733333333333333,-10.9,5.733333333333333,8.274978851936723
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",2.9453269520913636,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.360601202827322
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.138402163158844,100,-3.7476666666666656,-10.9,-10.9,5.733333333333333,8.234760004598394
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",2.82445685383982,100,-4.108653846153846,-13.375,-13.375,6.769230769230769,10.039832880469248
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",2.939113704986994,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",2.83395658165,100,-1.6913461538461536,6.769230769230769,-13.375,6.769230769230769,9.94235646655199
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",33.385892658942794,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",3.158066545222937,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",3.154715623719767,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.2514098428346188,100,-4.108653846153846,-13.375,-13.375,6.769230769230769,10.039832880469248
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.123430738324714,100,-3.1014423076923077,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.121476995917874,100,-3.302884615384615,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.111159414992926,100,-4.108653846153846,-13.375,-13.375,6.769230769230769,10.039832880469248
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.1698518374605555,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.1254550129488052,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.0677702393800246,100,-3.302884615384615,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.90702379051709,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",3.3294271309223404,100,-3.504326923076923,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",3.189029867829049,100,-3.504326923076923,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.2659507005450905,100,-4.5115384615384615,-13.375,-13.375,6.769230769230769,9.999333187827249
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.354341354128792,100,-4.310096153846153,-13.375,-13.375,6.769230769230769,10.02162827278062
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.32895456506958,100,-4.310096153846153,-13.375,-13.375,6.769230769230769,10.021628272780621
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.272483907433525,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.1149146143397957,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.112846417379842,100,-3.1014423076923077,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
